Image ID,Orientation,Side body area[mm2],Standard length[mm],Myotome length[mm],Myotome height[mm],Side yolk area[mm2],Eye area[mm2],Eye max diameter[mm],Eye min diameter[mm],Ventral body area[mm2],Ventral body length[mm],Ventral body width[mm],Ventral yolk area[mm],Number of lipids,Total lipid area [mm2]
LUS_0001,side,4.031754000054764,5.669471363001871,5.694499372812933,0.6167879229087538,1.485984976405838,0.20339354332289775,0.5601802788336735,0.46286030701476943,0,0,0,0,0,0
LUS_0002,side,4.060030485300426,5.686184240852215,5.77878787715315,0.7010691028863287,1.4738912569253657,0.1998156278237694,0.5444707499744768,0.46772845518638945,0,0,0,0,0,0
LUS_0003,side,3.5052436542200236,5.288548845896915,5.771589435250444,0.2168712973394938,1.4469382353209628,0.13030184098356168,0.5347864028481041,0.3174498958321834,0,0,0,0,0,0
LUS_0004,side,3.4573251430709835,5.081037391211068,5.554066776640172,0.2308165008448829,1.432909520723615,0.128622411259481,0.524455602423291,0.3188795165291282,0,0,0,0,0,0
LUS_0005,side,5.3274340321829845,6.650338298099317,7.1809321060938585,0.28872124052174636,2.2409342740573743,0.2026268471445131,0.7026585513748199,0.3746883816776819,0,0,0,0,0,0
LUS_0007,side,5.208331431805113,6.692796980483492,7.195859977685864,0.27624925657029914,2.269986582816878,0.192139538704466,0.6969554675228394,0.36715996917555394,0,0,0,0,0,0
LUS_0010,ventral,0,0,0,0,0,0,0,0,2.7681242988942563,2.324355600050553,1.53217998414898,1.7428172431949818,1,0.4605277466175225
LUS_0011,ventral,0,0,0,0,0,0,0,0,2.794467274100868,2.3309898985233337,1.5412074151752624,1.7417813236876445,1,0.4696850461298963
LUS_0014,ventral,0,0,0,0,0,0,0,0,1.9106920056775256,1.6120425178292948,1.513689512974962,0,0,0
LUS_0015,ventral,0,0,0,0,0,0,0,0,2.079020340651542,1.7313518400271615,1.5321149072181823,0.8710552070694352,0,0
LUS_0016,ventral,0,0,0,0,0,0,0,0,1.9530130377051806,1.6540385288780015,1.5065810975493268,0,0,0
LUS_0017,ventral,0,0,0,0,0,0,0,0,1.9576589363796617,1.6758353535666284,1.4902271142487014,0,0,0
